name,addr_lot,rating_score,rating_num,note,addr_load
콘디스코커피,(지번) 합정동 360-23,5.0,6건,,서울 마포구 독막로8길 38 1층
콘웰,(지번) 망원동 382-14,,,,서울 마포구 월드컵로15길 40 2층
콘크리트엔젤,(지번) 합정동 473,3.0,15건,,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 1층
콘하스 연남점,(지번) 동교동 147-5,2.8,44건,,서울 마포구 연희로 1-1 1-2층
콜린,(지번) 서교동 403-13,3.9,120건,,"서울 마포구 어울마당로 45 1,2층"
콜바이,(지번) 합정동 372-4,4.8,17건,,서울 마포구 독막로2길 18 1층
콜트 커피바,(지번) 망원동 394-101,4.9,15건,,서울 마포구 동교로 33-3 지하1층
콤파일,(지번) 서교동 466-8,4.1,43건,,"서울 마포구 잔다리로 73 1F, COMPILE"
콤포타블 서교,(지번) 서교동 478-19,4.8,27건,,서울 마포구 동교로 109-7 2층
콩당콩당,,,,editorPick,서울 송파구 올림픽로4길 17 아시아선수촌아파트 C상가 2층 23호 (잠실동)
콩치노 콩크리트,,,,editorPick,경기 파주시 탄현면 새오리로161번길 17 (탄현면 성동리)
쿼츠,,,,editorPick,서울 용산구 한강대로 158 1층 103호 (한강로1가)
퀘스천마크,(지번) 서교동 409-1,4.8,44건,,서울 마포구 와우산로17길 15 3층
퀜치커피,(지번) 서교동 480-12,4.5,193건,,서울 마포구 동교로12안길 9 1층
큐브이스케이프 홍대점,(지번) 서교동 355-17,2.6,41건,,서울 마포구 양화로16길 15 무광빌딩 4층
크림드메,,,,editorPick,서울 은평구 통일로 883 2층 (갈현동)
키로,(지번) 서교동 395-79,0.0,0건,,서울 마포구 독막로7길 49 2층
키싸,(지번) 망원동 409-61,4.0,9건,,서울 마포구 포은로5길 30 1층
키오스크,(지번) 망원동 57-194,4.3,118건,,서울 마포구 월드컵로19길 74 어쩌다가게 2층 204호
키이스케이프 홍대점,(지번) 서교동 408-27,3.2,26건,,서울 마포구 어울마당로 44-1 지하1층
키친205,(지번) 서교동 343-10,,,,서울 마포구 와우산로 101 에스엠빌딩 1층
키헤이커피,,,,editorPick,서울 강남구 봉은사로78길 15 재정빌딩 1층 101호 (삼성동)
타이프 한강점,(지번) 상수동 356-6,3.9,60건,,서울 마포구 토정로 128 서강8경빌딩 5층
탕후르츠,(지번) 서교동 399-9,5.0,1건,,서울 마포구 양화로6길 57-12 지하1층
터틀힙,(지번) 연남동 565-19,4.2,84건,,서울 마포구 연남로1길 44 1층
테라로사 서귀포점,,,,editorPick,제주 서귀포시 칠십리로658번길 27-16 (하효동)
테라로사 홍대서교점,(지번) 서교동 460-25,4.5,22건,editorPick,서울 마포구 월드컵북로5길 41 누디트 홍대 1층
테라커피 합정점,(지번) 서교동 397-5,4.2,5건,,서울 마포구 독막로3길 52 예쁜빌딩 1층 102호
텐퍼센트커피 합정역점,(지번) 서교동 494,3.9,8건,,서울 마포구 양화로 72 효성해링턴타워 1층 109호
템퍼러리,(지번) 합정동 433-50,4.6,5건,,서울 마포구 동교로 44-12 1층
토마스커피,(지번) 합정동 435-25,,,,서울 마포구 양화로1길 75
토치커피 삼성점,,,,editorPick,서울 강남구 봉은사로68길 41 1층 102호 (삼성동)
톨드어스토리,,,,editorPick,대전 서구 갈마역로25번길 31 1층 (갈마동)
투니크 유니버스점,(지번) 서교동 395-157,2.5,14건,,서울 마포구 양화로 78-17
투썸플레이스 망원역점,(지번) 서교동 476-21,2.6,31건,,서울 마포구 월드컵로 62 한림빌딩 1층
투썸플레이스 합정메세나폴리스점,(지번) 서교동 490,2.9,21건,,서울 마포구 양화로 45 지하1층 B166호
투썸플레이스 합정역점,(지번) 합정동 414-3,2.3,79건,,서울 마포구 독막로 5
투썸플레이스 홍대걷고싶은거리점,(지번) 동교동 163-11,3.0,28건,,서울 마포구 어울마당로 109 2-4층
투썸플레이스 홍대서교점,(지번) 서교동 445-4,,,,서울 마포구 월드컵북로 13 스마트빌딩 1-2층
투썸플레이스 홍대예술의거리점,(지번) 서교동 358-58,2.6,14건,,서울 마포구 와우산로21길 36-3 태윤빌딩 2~4층
튜토리얼,(지번) 상수동 310-12,3.5,46건,,서울 마포구 와우산로 39-15
트래블카페샬레,(지번) 서교동 398-11,4.8,14건,,서울 마포구 어울마당로5길 26 1층
트레이프조이드,(지번) 서교동 461-16,4.3,4건,,서울 마포구 동교로 137 1층
트레져스,,,,editorPick,부산 부산진구 동성로49번길 4 1층 (전포동)
티프 합정,(지번) 서교동 384-15,4.5,13건,,서울 마포구 양화로11길 64 1층 티프 합정
파브스커피로스터스,,,,editorPick,서울 은평구 증산로15가길 15 1층 (신사동)
파사도 망원,(지번) 망원동 411-18,3.4,34건,,서울 마포구 포은로6길 9 파사도
파스텔커피웍스 본점,(지번) 합정동 376-9,4.0,63건,editorPick,서울 마포구 성지길 58 노박빌딩 1층
파우스디멘션,(지번) 서교동 395-204,4.0,20건,,서울 마포구 양화로12길 16-12 1층
파이브브루잉,,,,editorPick,서울 서초구 서초대로27길 15 (방배동)
파이오니어커피,,,,editorPick,서울 강동구 올림픽로 572 코오롱2차아파트 1층 110호 (성내동)
파티세리로그,(지번) 합정동 410-10,,,,서울 마포구 양화로6길 86 1층
파티스리 까이에,(지번) 합정동 473,4.6,19건,,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 1층 105호
판타지트,(지번) 서교동 477-4,5.0,2건,,서울 마포구 월드컵로10길 39 1층
퍼셉션 (Perception),(지번) 합정동 355-2,,,editorPick,서울 마포구 어울마당로1길 16 1층
퍼스널커피,(지번) 망원동 405-32,4.8,31건,,서울 마포구 망원로6길 50 1층
퍼스트펭귄카페,(지번) 서교동 373-3,4.8,17건,,서울 마포구 잔다리로 47
퍼즐팩토리 2호점,(지번) 서교동 366-25,3.8,6건,,서울 마포구 잔다리로2길 17 3층
퍼즐팩토리 홍대본점,(지번) 서교동 358-46,4.0,9건,,서울 마포구 와우산로21길 34 3층
펀스터,,,,editorPick,서울 은평구 증산로3길 8-15 1층 (증산동)
페그로스터스,(지번) 서교동 461-11,4.8,26건,,서울 마포구 동교로 135 1층
페이브먼트,(지번) 망원동 338-51,4.4,21건,,서울 마포구 월드컵로15길 86 1층
